source,target,type,raw
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.KEY-NEXT-ITEM,PU:P_VALIDA_SOLICITUD_DUPLI_COB,INTERNAL_PU_CALL,p_valida_solicitud_dupli_cob
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA.KEY-NEXT-ITEM,EXT:VARCHAR2,EXTERNAL_CALL,VARCHAR2
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.LOV_COBERTURA.WHEN-BUTTON-PRESSED,EXT:FOREBRA,EXTERNAL_CALL,FOREBRA
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.LOV_COBERTURA.WHEN-BUTTON-PRESSED,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.LOV_COBERTURA.WHEN-BUTTON-PRESSED,PU:MSG_ALERT,INTERNAL_PU_CALL,msg_alert
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.LOV_COBERTURA.WHEN-BUTTON-PRESSED,PU:P_IMPRIME_MENSAJE,INTERNAL_PU_CALL,P_IMPRIME_MENSAJE
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.MONTO_RECLAMO.KEY-NEXT-ITEM,EXT:DBAPER.PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,DBAPER.PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.MONTO_RECLAMO.KEY-NEXT-ITEM,EXT:dbaper.PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,dbaper.PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.MONTO_RECLAMO.KEY-NEXT-ITEM,EXT:FOREBRA,EXTERNAL_CALL,FOREBRA
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.MONTO_RECLAMO.KEY-NEXT-ITEM,EXT:in,EXTERNAL_CALL,in
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.MONTO_RECLAMO.KEY-NEXT-ITEM,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.MONTO_RECLAMO.KEY-NEXT-ITEM,EXT:PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.MONTO_RECLAMO.KEY-NEXT-ITEM,PU:P_VALIDA_SOLICITUD_DUPLICADA,INTERNAL_PU_CALL,p_valida_solicitud_duplicada
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.MONTO_RECLAMO.KEY-NEXT-ITEM,PU:P_VALIDA_SOLICITUD_DUPLI_COB,INTERNAL_PU_CALL,p_valida_solicitud_dupli_cob
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.MONTO_RECLAMO.WHEN-VALIDATE-ITEM,PU:P_VALIDA_GRUPO_COB,INTERNAL_PU_CALL,P_VALIDA_GRUPO_COB
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.MONTO_RECLAMO.WHEN-VALIDATE-ITEM,EXT:VARCHAR2,EXTERNAL_CALL,VARCHAR2
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA_SOL_ESTATUS_ID.WHEN-LIST-CHANGED,EXT:execute_trigger,EXTERNAL_CALL,execute_trigger
