node_id,scope,owner,trigger,sql_select,sql_insert,sql_update,sql_delete,sql_merge,execute_immediate,cursor,call_count
TRG_ITEM:RADICACION.NUMERO_DOCUMENTO.KEY-NEXT-ITEM,ITEM,RADICACION.NUMERO_DOCUMENTO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.NUMERO_DOCUMENTO.WHEN-VALIDATE-ITEM,ITEM,RADICACION.NUMERO_DOCUMENTO,WHEN-VALIDATE-ITEM,0,0,0,0,0,0,0,2
TRG_ITEM:RADICACION.NUMERO_VIA_ENTRADA.KEY-NEXT-ITEM,ITEM,RADICACION.NUMERO_VIA_ENTRADA,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.NUMERO_VIA_ENTRADA.WHEN-VALIDATE-ITEM,ITEM,RADICACION.NUMERO_VIA_ENTRADA,WHEN-VALIDATE-ITEM,0,0,0,0,0,0,0,2
TRG_ITEM:RADICACION.SEXO.KEY-NEXT-ITEM,ITEM,RADICACION.SEXO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.SUCURSAL_CHEQUE.WHEN-VALIDATE-ITEM,ITEM,RADICACION.SUCURSAL_CHEQUE,WHEN-VALIDATE-ITEM,1,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.TIPO_CUENTA.KEY-NEXT-ITEM,ITEM,RADICACION.TIPO_CUENTA,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.TIPO_DOCUMENTO.KEY-NEXT-ITEM,ITEM,RADICACION.TIPO_DOCUMENTO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.TIPO_DOCUMENTO.WHEN-LIST-CHANGED,ITEM,RADICACION.TIPO_DOCUMENTO,WHEN-LIST-CHANGED,0,0,0,0,0,0,0,0
TRG_ITEM:RADICACION.TIPO_PROPIETARIO.KEY-NEXT-ITEM,ITEM,RADICACION.TIPO_PROPIETARIO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:RADICACION.TIPO_PROPIETARIO.WHEN-LIST-CHANGED,ITEM,RADICACION.TIPO_PROPIETARIO,WHEN-LIST-CHANGED,1,0,0,0,0,0,1,1
TRG_ITEM:RADICACION.VIA_ENTRADA.KEY-NEXT-ITEM,ITEM,RADICACION.VIA_ENTRADA,KEY-NEXT-ITEM,0,0,0,0,0,0,0,2
TRG_ITEM:RADICACION.VIA_ENTRADA.WHEN-LIST-CHANGED,ITEM,RADICACION.VIA_ENTRADA,WHEN-LIST-CHANGED,0,0,0,0,0,0,0,1
TRG_ITEM:RESUMEN_RECLAMOS.BTN_CARTA_DECL.WHEN-BUTTON-PRESSED,ITEM,RESUMEN_RECLAMOS.BTN_CARTA_DECL,WHEN-BUTTON-PRESSED,2,0,0,0,0,0,2,4
TRG_ITEM:RESUMEN_RECLAMOS.BTN_COMENTARIO.WHEN-BUTTON-PRESSED,ITEM,RESUMEN_RECLAMOS.BTN_COMENTARIO,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,1
TRG_ITEM:RESUMEN_RECLAMOS.BTN_EDITAR.WHEN-BUTTON-PRESSED,ITEM,RESUMEN_RECLAMOS.BTN_EDITAR,WHEN-BUTTON-PRESSED,0,0,0,2,0,0,0,9
TRG_ITEM:RESUMEN_RECLAMOS.BTN_HIST_CAR.WHEN-BUTTON-PRESSED,ITEM,RESUMEN_RECLAMOS.BTN_HIST_CAR,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,1
TRG_ITEM:RESUMEN_RECLAMOS.BTN_RECP_DOC.WHEN-BUTTON-PRESSED,ITEM,RESUMEN_RECLAMOS.BTN_RECP_DOC,WHEN-BUTTON-PRESSED,3,0,0,0,0,0,2,3
TRG_ITEM:RESUMEN_RECLAMOS.BTN_SOL_INF.WHEN-BUTTON-PRESSED,ITEM,RESUMEN_RECLAMOS.BTN_SOL_INF,WHEN-BUTTON-PRESSED,3,0,0,0,0,0,3,4
TRG_ITEM:RESUMEN_RECLAMOS.CB_SELECCIONAR.WHEN-CHECKBOX-CHANGED,ITEM,RESUMEN_RECLAMOS.CB_SELECCIONAR,WHEN-CHECKBOX-CHANGED,3,0,0,0,0,0,2,7
TRG_ITEM:RESUMEN_RECLAMOS.ESTATUS_DESC.WHEN-MOUSE-DOUBLECLICK,ITEM,RESUMEN_RECLAMOS.ESTATUS_DESC,WHEN-MOUSE-DOUBLECLICK,0,0,0,0,0,0,0,0
TRG_ITEM:SOLICITUD_PAGO_DETALLE.CANTIDAD.KEY-NEXT-ITEM,ITEM,SOLICITUD_PAGO_DETALLE.CANTIDAD,KEY-NEXT-ITEM,0,0,0,0,0,0,0,0
TRG_ITEM:SOLICITUD_PAGO_DETALLE.CANTIDAD.WHEN-VALIDATE-ITEM,ITEM,SOLICITUD_PAGO_DETALLE.CANTIDAD,WHEN-VALIDATE-ITEM,0,0,0,0,0,0,0,2
TRG_ITEM:SOLICITUD_PAGO_DETALLE.MONTO.WHEN-VALIDATE-ITEM,ITEM,SOLICITUD_PAGO_DETALLE.MONTO,WHEN-VALIDATE-ITEM,0,0,0,0,0,0,0,2
TRG_ITEM:SOLICITUD_PAGO_DETALLE.OBSERVACION.KEY-NEXT-ITEM,ITEM,SOLICITUD_PAGO_DETALLE.OBSERVACION,KEY-NEXT-ITEM,0,0,0,0,0,0,0,0
TRG_ITEM:SOLICITUD_SERVICIO.BTN_AFILIADO.KEY-NEXT-ITEM,ITEM,SOLICITUD_SERVICIO.BTN_AFILIADO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:SOLICITUD_SERVICIO.BTN_AFILIADO.WHEN-BUTTON-PRESSED,ITEM,SOLICITUD_SERVICIO.BTN_AFILIADO,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,0
TRG_ITEM:SOLICITUD_SERVICIO.BTN_ANADIR_MEDICO.WHEN-BUTTON-PRESSED,ITEM,SOLICITUD_SERVICIO.BTN_ANADIR_MEDICO,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,0
